KEYWORD_ID,KEYWORD_NAME,KEYWORDUP
1,먹방,452
2,간식,299
3,디저트,276
4,레`시피,133
5,케이크,123
6,초콜릿,117
7,신기한간식,114
8,요거트,100
9,요리,88
10,베이킹,67
11,두바이초콜릿맛집,61
12,음식,60
13,야식,46
14,국수,44
15,과일,43
16,빵,42
17,엽기떡볶이,38
18,탕후루,38
19,아이스크림,37
20,치즈,37
21,밥,36
22,라면,35
23,피자,34
24,맛집,33
25,연어,32
26,치킨,28
27,식사,25
28,쫀득쿠키,23
29,제품,23
30,편의점,23
31,과자,23
32,우유,23
33,초코,23
34,젤리,22
35,고추,22
36,크리스마스간식,21
37,파스타,20
38,김치,20
39,버거,20
40,떡,19
41,생크림,19
42,요구르트,18
43,수박,18
44,쫀득,18
45,추성훈스테이크,18
46,계란,17
47,고기,17
48,일본통조림,16
49,소스,16
50,메뉴,16
51,머랭쿠키,14
52,버터,14
53,소세지,14
54,닭발,14
55,감자,14
56,살,14
57,양파,13
58,찹쌀떡,13
59,찜,13
60,사과,12
61,오징어,12
62,삼겹살,12
63,불닭,12
64,마카롱,12
65,먹기,12
66,딸기,12
67,음료,12
68,흑백요리사,11
69,사비,11
70,만두,11
71,쿠키,11
72,사탕,11
73,중국식빵,10
74,게장,10
75,가지,10
76,빙수,10
77,불닭볶음면,10
78,커피,10
79,도넛,10
80,바나나,10
81,맛,10
82,비빔면,10
83,콜라,10
84,빵추천,9
85,다이어트식단,9
86,젤라또,9
87,해산물,9
88,토마토,9
89,토스트,9
90,티라미수,9
91,당근,9
92,간장,9
93,귤,9
94,짜장면,9
95,먹스타그램,8
96,성심당무화과,8
97,팝콘,8
98,아시,8
99,입맛,8
100,베이커리,8
101,피스타치오,8
102,스타벅스,8
103,케익,8
104,깨,8
105,배,8
106,병,8
107,튀김,8
108,샌드위치,8
109,퐁당,8
110,떡볶이밀키트,7
111,떡볶이asmr,7
112,마시멜로우먹방,7
113,글리터,7
114,백종원,7
115,석류,7
116,크로와상,7
117,볶음,7
118,붕어빵,7
119,옥수수,7
120,타코야끼,7
121,통귤,7
122,두부,7
123,시리얼,7
124,고구마,7
125,깍두기,7
126,꼬치,7
127,마트,7
128,짜파게티,7
129,엽떡토핑,6
130,마인크래프트치킨,6
131,순대,6
132,파리바게트,6
133,빼빼로,6
134,채소,6
135,맥도날드,6
136,곱창,6
137,달걀,6
138,술,6
139,버블티,6
140,시럽,6
141,오리,6
142,식감,6
143,돼지,6
144,복숭아,6
145,사이다,6
146,쌈,6
147,칩,6
148,포도,6
149,계란후라이,6
150,땅콩,6
151,마늘,6
152,버섯,6
153,베이컨,6
154,파인애플,6
155,필수,6
156,스윗믹스젤리,5
157,선크림,5
158,스웨디쉬젤리,5
159,일본간식먹방,5
160,코스,5
161,제주도먹방,5
162,스시,5
163,훠궈,5
164,통닭,5
165,샐러드,5
166,육포,5
167,메론빵,5
168,곶감,5
169,분식,5
170,냉면,5
171,갈비,5
172,맥주,5
173,스낵,5
174,식당,5
175,신맛,5
176,올리브영,5
177,재료,5
178,취,5
179,츄러스,5
180,끼,5
181,베,5
182,새우,5
183,설탕,5
184,와플,5
185,코코넛,5
186,핫도그,5
187,성심당시루케이크,4
188,핫팟,4
189,대왕쿠키,4
190,경기도맛집,4
191,뷔페꿀팁,4
192,초간단요리,4
193,이탈리아음식,4
194,비빔밥,4
195,닭가슴살,4
196,숯불얼음구이,4
197,수빙수쌈장게장,4
198,김장,4
199,삼계탕,4
200,마시기,4
201,야채,4
202,고등어,4
203,에스프레소,4
204,배스킨라빈스추천,4
205,카스타드,4
206,롯데리아,4
207,가래떡,4
208,양념치킨,4
209,대추야자,4
210,구이,4
211,마요네즈,4
212,머랭,4
213,생선,4
214,식품,4
215,구우,4
216,자몽,4
217,주스,4
218,케찹,4
219,쿄호,4
220,쿡,4
221,한우,4
222,햄,4
223,햇반,4
224,회,4
225,콘치,4
226,레몬에이드,4
227,밀크,4
228,쥬스,4
229,먹음,4
230,코스트코,4
231,배라,3
232,성심당케익부띠끄,3
233,풋롱쿠키,3
234,밥솥,3
235,탄 푸루 모방,3
236,빵 굽기,3
237,대왕컵떡볶이,3
238,교촌치킨신메뉴,3
239,고추바사삭,3
240,펄볶이리뷰,3
241,먹방asmr,3
242,라이스페이퍼요리,3
243,김말이,3
244,파이,3
245,육수,3
246,머그,3
247,오므라이스,3
248,크레페,3
249,대게,3
250,수세미,3
251,매실장아찌,3
252,국밥집,3
253,카카오,3
254,스프,3
255,단백,3
256,연유,3
257,다이닝,3
258,어묵,3
259,가요,3
260,급식,3
261,대파,3
262,도시락,3
263,고래밥,3
264,머스켓,3
265,소주,3
266,시식,3
267,장어,3
268,한판,3
269,고춧가루,3
270,구매,3
271,라멘,3
272,스무디,3
273,식용,3
274,식이,3
275,야끼소바,3
276,양갱,3
277,엿,3
278,작물,3
279,콩나물,3
280,포켓몬빵,3
281,홈플러스,3
282,닭강정,3
283,유부초밥,3
284,육즙,3
285,정식,3
286,카레,3
287,갓,3
288,껌,3
289,낫또,3
290,호박,3
291,족발,3
292,참치,3
293,캔,3
294,해먹,3
295,먹스나님,3
296,우동,3
297,정수기,3
298,퍼먹는,3
299,킨조젤리만들기,2
300,일본초밥,2
301,응급실떡볶이,2
302,구데타마간식,2
303,과육,2
304,조리사,2
305,피쉬,2
306,집밥,2
307,치즈 미스,2
308,양파 보일,2
309,푸딩,2
310,서울푸드,2
